block,plot,fire,exclosure,species,year_collected,total_phenolics
1,5,cold,closed,ce,2022,22.68195414
1,2,cold,open,ce,2022,21.18644068
1,4,control,open,ce,2022,17.14855434
1,3,hot,closed,ce,2022,24.52642074
1,2,prefire,preexclosure,ce,2021,16.40900211
2,6,control,closed,ce,2022,40.15453639
2,3,hot,closed,ce,2022,39.83050847
2,1,hot,open,ce,2022,17.44765703
2,5,hot,open,ce,2022,28.16550349
2,5,prefire,preexclosure,ce,2021,11.36327553
3,4,control,closed,ce,2022,32.02891326
3,6,control,open,ce,2022,28.76370887
3,3,hot,open,ce,2022,23.23030907
4,5,cold,open,ce,2022,17.24825523
4,6,control,closed,ce,2022,62.88634098
4,3,control,open,ce,2022,16.65004985
4,2,hot,closed,ce,2022,25.72283151
5,2,cold,closed,ce,2022,39.73080758
5,6,cold,open,ce,2022,28.81355932
5,1,control,closed,ce,2022,42.77168495
5,5,control,open,ce,2022,37.58723829
5,5,prefire,preexclosure,ce,2021,12.91772506
5,6,prefire,preexclosure,ce,2021,16.82463034
6,3,cold,open,ce,2022,28.41475573
6,2,control,closed,ce,2022,25.47357926
6,4,control,open,ce,2022,25.22432702
6,5,hot,open,ce,2022,20.43868395
7,6,control,closed,ce,2022,36.44067797
7,4,hot,open,ce,2022,30.85742772
8,6,cold,closed,ce,2022,38.43469591
8,3,cold,open,ce,2022,24.75074776
8,1,control,closed,ce,2022,29.91026919
8,4,control,open,ce,2022,42.27318046
8,5,hot,open,ce,2022,30.75772682
8,6,prefire,preexclosure,ce,2021,12.77417747
9,2,cold,closed,ce,2022,9.571286142
9,1,cold,open,ce,2022,9.571286142
9,4,control,closed,ce,2022,19.14257228
9,5,control,open,ce,2022,15.10468594
9,3,hot,closed,ce,2022,36.44067797
9,6,hot,open,ce,2022,8.87337986
9,3,prefire,preexclosure,ce,2021,21.43569292
10,4,cold,closed,ce,2022,26.27118644
10,3,control,closed,ce,2022,23.33000997
10,5,control,open,ce,2022,10.99202393
1,5,cold,closed,pm,2022,37.98604187
1,2,cold,open,pm,2022,30.15952144
1,4,control,open,pm,2022,33.84845464
1,1,hot,closed,pm,2022,38.53439681
1,3,hot,closed,pm,2022,39.43170489
1,6,hot,open,pm,2022,34.94516451
2,4,cold,closed,pm,2022,23.92821535
2,2,cold,open,pm,2022,35.0448654
2,6,control,closed,pm,2022,29.36191426
2,3,hot,closed,pm,2022,27.36789631
2,1,hot,open,pm,2022,30.95712861
2,5,hot,open,pm,2022,17.24825523
3,2,cold,closed,pm,2022,43.07078764
3,5,cold,open,pm,2022,21.23629113
3,4,control,closed,pm,2022,32.60219342
3,6,control,open,pm,2022,20.2891326
3,1,hot,closed,pm,2022,26.81954138
3,3,hot,open,pm,2022,17.04885344
4,1,cold,closed,pm,2022,34.29710867
4,5,cold,open,pm,2022,15.30408774
4,6,control,closed,pm,2022,23.28015952
4,3,control,open,pm,2022,24.97507478
4,2,hot,closed,pm,2022,20.3888335
4,4,hot,open,pm,2022,27.96610169
5,6,cold,open,pm,2022,32.00398804
5,1,control,closed,pm,2022,27.666999
5,5,control,open,pm,2022,25.57328016
5,4,hot,closed,pm,2022,28.31505484
5,3,hot,open,pm,2022,22.03389831
6,1,cold,closed,pm,2022,14.7557328
6,3,cold,open,pm,2022,24.92522433
6,2,control,closed,pm,2022,34.99501496
6,4,control,open,pm,2022,34.09770688
6,6,hot,closed,pm,2022,41.47557328
6,5,hot,open,pm,2022,33.54935194
7,5,cold,closed,pm,2022,25.54835494
7,3,cold,open,pm,2022,29.56131605
7,6,control,closed,pm,2022,29.36191426
7,1,control,open,pm,2022,8.948155533
7,2,hot,closed,pm,2022,26.47058824
7,4,hot,open,pm,2022,26.62013958
8,6,cold,closed,pm,2022,25.07477567
8,3,cold,open,pm,2022,19.19242273
8,1,control,closed,pm,2022,26.27118644
8,4,control,open,pm,2022,17.59720837
8,2,hot,closed,pm,2022,31.80458624
8,5,hot,open,pm,2022,22.83150548
9,2,cold,closed,pm,2022,24.57627119
9,1,cold,open,pm,2022,28.96311067
9,4,control,closed,pm,2022,26.0219342
9,5,control,open,pm,2022,19.09272183
9,3,hot,closed,pm,2022,19.34197408
9,6,hot,open,pm,2022,19.29212363
10,4,cold,closed,pm,2022,28.91326022
10,2,cold,open,pm,2022,38.18544367
10,3,control,closed,pm,2022,34.24725823
10,5,control,open,pm,2022,30.35892323
10,6,hot,closed,pm,2022,23.42971087
10,1,hot,open,pm,2022,26.32103689
1,2,cold,open,sn,2022,62.66842295
1,1,hot,closed,sn,2022,52.54102759
1,1,prefire,preexclosure,sn,2021,63.43469591
2,4,cold,closed,sn,2022,175.0747757
2,2,cold,open,sn,2022,174.775673
2,6,control,closed,sn,2022,39.40677966
2,3,hot,closed,sn,2022,63.66593067
2,1,hot,open,sn,2022,64.09224767
2,5,hot,open,sn,2022,63.65902293
3,2,cold,closed,sn,2022,64.25722832
3,5,cold,open,sn,2022,63.35992024
3,6,control,open,sn,2022,60.3522765
3,1,hot,closed,sn,2022,210.8673978
3,3,hot,open,sn,2022,58.99800598
4,1,cold,closed,sn,2022,62.32344115
4,5,cold,open,sn,2022,36.34097707
4,6,control,closed,sn,2022,218.7437687
4,3,control,open,sn,2022,17.40611498
4,2,hot,closed,sn,2022,65.82783715
4,4,hot,open,sn,2022,54.8105683
5,2,cold,closed,sn,2022,58.92323031
5,1,control,closed,sn,2022,63.37653706
5,3,hot,open,sn,2022,178.664008
5,3,prefire,preexclosure,sn,2021,63.29345297
6,3,cold,open,sn,2022,45.51562703
6,5,hot,open,sn,2022,48.86590229
6,3,prefire,preexclosure,sn,2021,61.50714524
6,5,prefire,preexclosure,sn,2021,57.31555334
7,5,cold,closed,sn,2022,60.33872396
7,3,cold,open,sn,2022,216.2512463
7,1,control,open,sn,2022,54.06281157
7,2,hot,closed,sn,2022,221.5353938
7,4,hot,open,sn,2022,62.53240279
7,5,prefire,preexclosure,sn,2021,62.9112662
8,6,cold,closed,sn,2022,56.33931538
8,3,cold,open,sn,2022,218.3449651
8,1,control,closed,sn,2022,204.9850449
8,4,control,open,sn,2022,180.7577268
8,2,hot,closed,sn,2022,59.77068794
8,5,hot,open,sn,2022,151.0468594
9,2,cold,closed,sn,2022,51.17148554
9,2,cold,closed,sn,2022,64.93020937
9,1,cold,open,sn,2022,61.30358923
9,4,control,closed,sn,2022,183.4995015
9,5,control,open,sn,2022,55.27168495
9,3,hot,closed,sn,2022,51.57028913
9,6,hot,open,sn,2022,48.42900014
10,3,control,closed,sn,2022,185.7427717
10,5,control,open,sn,2022,48.03090728
10,1,hot,open,sn,2022,37.86141575
10,4,prefire,preexclosure,sn,2021,59.4217348
1,5,cold,closed,um,2022,26.96909272
1,2,cold,open,um,2022,20.1894317
1,4,control,open,um,2022,17.99601196
1,1,hot,closed,um,2022,25.8225324
1,3,hot,closed,um,2022,24.42671984
1,6,hot,open,um,2022,22.83150548
2,4,cold,closed,um,2022,16.6001994
2,2,cold,open,um,2022,21.53539382
2,6,control,closed,um,2022,18.74376869
2,3,hot,closed,um,2022,15.85244267
2,1,hot,open,um,2022,22.333001
2,5,hot,open,um,2022,17.34795613
3,2,cold,closed,um,2022,10.31904287
3,5,cold,open,um,2022,14.50648056
3,4,control,closed,um,2022,20.08973081
3,6,control,open,um,2022,14.30707876
3,1,hot,closed,um,2022,28.04087737
3,3,hot,open,um,2022,14.05782652
4,1,cold,closed,um,2022,20.53838485
4,5,cold,open,um,2022,20.1894317
4,6,control,closed,um,2022,17.04885344
4,3,control,open,um,2022,15.30408774
4,2,hot,closed,um,2022,14.05782652
4,4,hot,open,um,2022,16.5004985
5,2,cold,closed,um,2022,19.59122632
5,6,cold,open,um,2022,22.68195414
5,1,control,closed,um,2022,13.90827517
5,5,control,open,um,2022,20.83748754
5,4,hot,closed,um,2022,19.24227318
5,3,hot,open,um,2022,26.76969093
6,1,cold,closed,um,2022,12.01395813
6,3,cold,open,um,2022,19.09272183
6,2,control,closed,um,2022,12.9112662
6,4,control,open,um,2022,19.44167498
6,6,hot,closed,um,2022,17.29810568
6,5,hot,open,um,2022,19.59122632
7,5,cold,closed,um,2022,16.00199402
7,3,cold,open,um,2022,17.44765703
7,6,control,closed,um,2022,14.9551346
7,1,control,open,um,2022,19.54137587
7,4,hot,open,um,2022,18.79361914
8,6,cold,closed,um,2022,16.6999003
8,3,cold,open,um,2022,17.09870389
8,1,control,closed,um,2022,19.74077767
8,4,control,open,um,2022,15.15453639
8,2,hot,closed,um,2022,14.15752742
8,5,hot,open,um,2022,18.5443669
9,2,cold,closed,um,2022,16.35094716
9,1,cold,open,um,2022,16.7996012
9,4,control,closed,um,2022,18.29511466
9,5,control,open,um,2022,17.14855434
9,3,hot,closed,um,2022,19.39182453
9,6,hot,open,um,2022,22.98105683
10,4,cold,closed,um,2022,24.82552343
10,2,cold,open,um,2022,15.50348953
10,3,control,closed,um,2022,14.45663011
10,5,control,open,um,2022,23.18045862
10,6,hot,closed,um,2022,20.53838485
10,1,hot,open,um,2022,18.3449651
1,5,cold,closed,vr,2022,17.65536722
1,2,cold,open,vr,2022,36.85194417
1,4,control,open,vr,2022,14.11598537
1,1,hot,closed,vr,2022,29.89365237
1,3,hot,closed,vr,2022,19.28930567
1,4,prefire,preexclosure,vr,2021,22.85539579
1,5,prefire,preexclosure,vr,2021,42.44765703
1,6,prefire,preexclosure,vr,2021,28.14057827
2,4,cold,closed,vr,2022,20.77309841
2,6,control,closed,vr,2022,53.49783981
2,3,hot,closed,vr,2022,30.83250249
2,1,hot,open,vr,2022,36.24127617
2,5,hot,open,vr,2022,50.97706879
2,1,prefire,preexclosure,vr,2021,52.00755911
3,2,cold,closed,vr,2022,28.888335
3,5,cold,open,vr,2022,36.58439972
3,4,control,closed,vr,2022,4.039906294
3,6,control,open,vr,2022,61.8976404
3,1,hot,closed,vr,2022,54.83549352
3,3,hot,open,vr,2022,51.62013958
4,1,cold,closed,vr,2022,19.07610501
4,5,cold,open,vr,2022,15.68419741
4,6,control,closed,vr,2022,36.76647229
4,3,control,open,vr,2022,17.33964773
4,2,hot,closed,vr,2022,34.45557941
5,6,cold,open,vr,2022,45.22681954
5,1,control,closed,vr,2022,38.17713527
5,5,control,open,vr,2022,59.65437021
5,4,hot,closed,vr,2022,49.67597208
5,3,hot,open,vr,2022,47.55618088
5,4,prefire,preexclosure,vr,2021,63.89036991
6,1,cold,closed,vr,2022,26.46358775
6,3,cold,open,vr,2022,46.9217348
6,2,control,closed,vr,2022,60.74277168
6,4,control,open,vr,2022,37.00564973
6,6,hot,closed,vr,2022,64.4991562
6,5,hot,open,vr,2022,47.09621137
7,5,cold,closed,vr,2022,53.45034362
7,3,cold,open,vr,2022,32.91253454
7,6,control,closed,vr,2022,60.70665774
7,1,control,open,vr,2022,17.65329013
7,2,hot,closed,vr,2022,30.13459621
7,4,hot,open,vr,2022,50.53838485
8,6,cold,closed,vr,2022,61.97016754
8,3,cold,open,vr,2022,59.16417415
8,1,control,closed,vr,2022,44.91525424
8,4,control,open,vr,2022,42.87138584
8,2,hot,closed,vr,2022,51.49551346
8,5,hot,open,vr,2022,50.67257
8,2,prefire,preexclosure,vr,2021,63.47208375
9,2,cold,closed,vr,2022,32.58973081
9,1,cold,open,vr,2022,63.3163011
9,4,control,closed,vr,2022,63.66317714
9,6,hot,open,vr,2022,52.63210369
10,4,cold,closed,vr,2022,39.74327019
10,2,cold,open,vr,2022,58.78614158
10,3,control,closed,vr,2022,35.94217348
10,5,control,open,vr,2022,36.54037886
10,6,hot,closed,vr,2022,48.1768089
10,1,hot,open,vr,2022,43.35742772
